aX,aY,aZ,gX,gY,gZ
-4.000,1.753,-0.813,132.935,430.237,-990.479
-4.000,-0.674,-2.053,50.049,427.002,-1118.652
-4.000,-2.961,-2.461,-18.005,301.575,-1177.246
-4.000,-4.000,-1.276,24.475,120.605,-1110.229
-4.000,-4.000,1.672,21.301,-54.382,-883.972
-3.516,-4.000,3.478,27.161,-43.457,-638.550
-2.818,-3.495,2.256,64.758,153.992,-444.336
-2.563,-1.989,0.430,102.722,306.396,-359.863
-2.412,-0.952,-0.268,123.535,322.266,-337.524
-2.370,-0.590,-0.215,102.173,292.725,-348.389
-2.377,-0.857,-0.126,41.931,282.837,-372.925
-2.278,-1.261,-0.299,-14.038,285.522,-382.141
-2.177,-1.648,-0.333,-31.128,263.611,-376.221
-2.069,-1.890,-0.299,-3.357,220.886,-356.628
-1.824,-2.199,-0.393,40.161,179.321,-332.886
-1.607,-2.528,-0.282,68.604,135.620,-298.889
-1.453,-2.438,-0.038,80.933,96.619,-235.718
-1.242,-2.101,-0.027,80.261,77.148,-164.062
-1.083,-1.768,0.113,67.566,55.542,-114.075
-0.964,-1.469,0.212,50.598,40.161,-80.139
-0.912,-1.349,0.133,27.954,34.485,-60.059
-0.859,-1.414,0.014,12.695,26.489,-48.218
-0.817,-1.499,0.131,2.197,7.812,-33.203
-0.775,-1.470,0.328,-14.893,-7.507,-9.644
-0.750,-1.208,0.447,-38.452,-15.320,19.775
-0.740,-1.059,0.495,-69.275,-19.775,42.480
-0.752,-1.143,0.554,-103.516,-23.499,52.979
-0.790,-1.263,0.568,-131.958,-24.658,65.918
-0.804,-1.195,0.555,-152.954,-25.696,88.013
-0.839,-1.070,0.495,-158.142,-27.954,111.267
-0.881,-1.103,0.518,-158.447,-33.203,126.526
-0.917,-1.249,0.678,-158.264,-40.466,139.771
-0.948,-1.240,0.776,-150.024,-41.687,161.743
-0.988,-1.103,0.779,-126.343,-38.147,187.805
-1.052,-1.148,0.840,-99.121,-38.025,204.285
-1.114,-1.266,0.953,-83.862,-37.659,219.849
-1.177,-1.166,1.056,-78.430,-32.166,246.704
-1.258,-1.000,0.989,-74.280,-20.386,274.353
-1.305,-1.010,0.820,-68.909,-8.789,292.053
-1.370,-1.087,0.690,-61.218,-5.188,307.922
-1.449,-1.134,0.541,-53.162,-5.127,329.346
-1.540,-1.141,0.498,-42.358,-12.817,355.164
-1.631,-0.969,0.658,-27.527,-29.175,385.376
-1.701,-0.620,0.923,-8.667,-45.776,415.222
-1.676,-0.237,1.219,2.014,-55.908,434.998
-1.592,0.152,1.478,8.484,-56.885,443.359
-1.459,0.516,1.509,14.404,-41.870,438.660
-1.320,0.593,1.305,14.465,-15.747,416.321
-1.236,0.272,0.939,8.911,6.165,382.202
-1.256,-0.043,0.458,0.610,19.043,359.924
-1.284,-0.235,0.031,-7.812,17.517,356.140
-1.310,-0.386,0.041,-17.395,-9.888,361.877
-1.324,-0.352,0.563,-24.170,-49.866,378.113
-1.333,-0.183,1.028,-24.719,-69.519,397.827
-1.350,-0.076,1.168,-21.240,-60.730,409.241
-1.389,0.163,1.126,-19.165,-45.227,416.626
-1.254,0.664,1.183,-13.000,-39.063,424.805
-1.104,1.057,1.268,-6.470,-38.269,425.293
-0.965,1.312,1.153,-0.305,-26.306,414.001
-0.862,1.146,1.029,7.507,-14.648,359.863
-0.845,0.566,1.029,-0.854,-12.024,309.692
-0.890,0.297,1.061,-12.573,-10.254,298.340
-0.907,0.409,0.973,-26.367,-2.991,312.805
-0.874,0.632,0.950,-49.438,3.479,324.524
-0.790,0.967,1.079,-64.758,3.052,327.026
-0.678,1.266,1.110,-49.500,4.578,319.214
-0.538,1.304,1.113,-18.372,7.019,292.786
-0.486,1.151,1.058,-0.610,13.428,259.827
-0.498,1.112,0.611,10.803,25.635,237.427
-0.480,1.043,0.454,29.907,20.752,212.952
-0.467,0.979,0.582,25.635,2.258,196.899
-0.434,1.029,0.781,12.085,-9.277,187.073
-0.378,1.202,0.916,-2.625,-11.963,179.443
-0.335,1.273,0.980,-13.855,-10.681,163.635
-0.308,1.145,0.992,-19.043,-7.385,140.442
-0.277,0.978,1.111,-16.052,-7.690,120.605
-0.238,0.996,1.192,-2.869,-6.226,110.474
-0.201,1.040,1.233,15.259,-1.709,99.854
-0.199,0.986,1.269,31.250,4.639,82.825
-0.173,0.952,1.169,44.495,13.977,67.932
-0.148,1.006,1.085,55.176,19.470,58.655
-0.135,1.014,0.979,61.707,20.569,46.143
-0.125,0.895,0.887,59.631,19.287,30.579
-0.127,0.765,0.818,51.880,14.404,18.738
-0.111,0.670,0.815,42.786,7.568,12.390
-0.093,0.597,0.872,29.419,0.916,8.057
-0.073,0.528,0.910,11.108,-0.793,4.150
-0.067,0.484,0.933,-4.822,-0.427,1.038
-0.061,0.445,0.971,-11.597,-1.404,-2.380
-0.044,0.387,1.088,-8.118,-4.395,-7.019
-0.035,0.321,1.220,1.953,-5.676,-12.634
-0.041,0.189,1.225,15.930,-0.610,-18.677
-0.062,0.079,1.123,29.236,7.690,-21.301
-0.074,0.019,0.999,42.053,12.634,-19.592
-0.065,-0.027,0.945,46.875,12.268,-16.357
-0.060,-0.008,0.933,43.030,10.620,-10.864
-0.037,0.003,0.915,33.752,9.827,-6.165
-0.007,0.026,0.913,20.142,8.301,-3.357
0.021,0.108,0.941,6.775,5.737,-0.793

-0.740,0.891,1.258,18.860,29.480,125.305
-0.832,1.055,1.084,-11.658,45.837,127.625
-0.902,1.171,0.619,-16.113,57.983,124.451
-0.905,1.146,0.436,-0.061,43.579,112.915
-0.917,1.198,0.604,-22.095,14.832,104.309
-0.905,1.351,0.666,-31.128,-1.648,104.736
-1.019,1.335,0.807,-52.734,-13.367,104.614
-0.928,1.647,0.644,-37.048,-25.146,99.731
-0.821,1.872,0.732,-5.127,-43.823,78.430
-0.781,2.007,0.886,-8.789,-62.622,41.504
-0.817,2.053,1.041,-24.414,-72.815,1.282
-0.821,2.323,1.003,-13.977,-77.271,-32.654
-0.814,2.509,1.026,24.780,-87.219,-83.252
-0.910,2.379,1.151,61.279,-103.394,-160.461
-1.039,1.993,1.383,84.717,-117.859,-236.816
-1.171,1.669,1.683,106.079,-124.146,-295.837
-1.250,1.414,1.948,130.127,-115.295,-344.666
-1.428,1.293,2.173,124.756,-89.233,-390.564
-1.617,1.182,2.105,118.774,-46.021,-437.195
-1.747,1.062,2.230,108.276,-10.254,-488.098
-1.983,1.191,2.293,81.726,27.954,-534.180
-2.329,1.579,1.998,60.120,83.435,-576.538
-2.802,1.896,1.711,48.035,126.038,-633.606
-3.488,2.039,1.527,51.392,150.452,-705.444
-4.000,1.840,1.169,69.458,170.349,-788.269
-4.000,0.806,-0.031,144.043,196.594,-874.817
-4.000,-1.156,-0.555,227.661,183.899,-956.360
-4.000,-2.767,0.158,171.936,133.240,-981.812
-4.000,-3.443,0.564,125.610,125.244,-921.753
-4.000,-3.297,0.634,107.361,169.312,-784.668
-4.000,-2.515,0.660,54.443,205.933,-664.551
-4.000,-2.193,0.716,30.334,232.178,-611.450
-4.000,-2.294,0.487,43.518,268.005,-596.741
-2.325,-2.499,-0.968,105.103,337.524,-592.041
-3.822,-3.841,-0.984,38.635,323.120,-645.874
-3.658,-4.000,-1.074,-39.917,226.501,-586.426
